product_id,product_name,data_price,image_link,description,href,category
s89319542,FINNALA,250.00,https://www.ikea.com/us/en/images/products/finnala-1-seat-section-gunnared-medium-gray__0727747_pe735799_s5.jpg?f=xxs,1-seat section,https://www.ikea.com/us/en/p/finnala-1-seat-section-gunnared-medium-gray-s89319542/,sofas-sectionals-fu003
s39506046,LÅNGARYD,1799.00,https://www.ikea.com/us/en/images/products/langaryd-sofa-lejde-light-gray-wood__0992758_pe820227_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/langaryd-sofa-lejde-light-gray-wood-s39506046/,sofas-sectionals-fu003
s19336130,FINNALA,2399.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-grann-bomstad-black__0817211_pe773911_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-grann-bomstad-black-s19336130/,sofas-sectionals-fu003
s39336129,FINNALA,1734.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-tallmyra-black-gray__0579299_pe675183_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-tallmyra-black-gray-s39336129/,sofas-sectionals-fu003
s69336137,FINNALA,2044.00,https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-corner-with-open-end-with-headrests-gunnared-beige__0579259_pe675214_s5.jpg?f=xxs,"Sectional, 4-seat corner",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-corner-with-open-end-with-headrests-gunnared-beige-s69336137/,sofas-sectionals-fu003
s09575871,MORABO,2149.00,https://www.ikea.com/us/en/images/products/morabo-sectional-6-seat-crn-chaise-gunnared-dark-gray-metal__0602480_pe680390_s5.jpg?f=xxs,Sectional 6-seat crn/chaise,https://www.ikea.com/us/en/p/morabo-sectional-6-seat-crn-chaise-gunnared-dark-gray-metal-s09575871/,sofas-sectionals-fu003
s19510737,JÄTTEBO,2410.00,https://www.ikea.com/us/en/images/products/jaettebo-4-seat-mod-sofa-w-chaise-right-with-headrest-tonerud-gray__1179842_pe896115_s5.jpg?f=xxs,4-seat mod sofa w chaise,https://www.ikea.com/us/en/p/jaettebo-4-seat-mod-sofa-w-chaise-right-with-headrest-tonerud-gray-s19510737/,sofas-sectionals-fu003
s99471421,JÄTTEBO,220.00,https://www.ikea.com/us/en/images/products/jaettebo-armrest-samsala-dark-yellow-green__1109605_pe870095_s5.jpg?f=xxs,Armrest,https://www.ikea.com/us/en/p/jaettebo-armrest-samsala-dark-yellow-green-s99471421/,sofas-sectionals-fu003
s59485175,JÄTTEBO,2180.00,https://www.ikea.com/us/en/images/products/jaettebo-mod-corner-sofa-2-5-seat-w-chaise-right-samsala-dark-yellow-green__1109628_pe870118_s5.jpg?f=xxs,"Mod corner sofa, 2.5-seat w chaise",https://www.ikea.com/us/en/p/jaettebo-mod-corner-sofa-2-5-seat-w-chaise-right-samsala-dark-yellow-green-s59485175/,sofas-sectionals-fu003
s99319264,FINNALA,3999.00,https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-with-chaise-grann-bomstad-golden-brown__0817694_pe776084_s5.jpg?f=xxs,"Sectional, 5-seat corner",https://www.ikea.com/us/en/p/finnala-sectional-5-seat-corner-with-chaise-grann-bomstad-golden-brown-s99319264/,sofas-sectionals-fu003
30519519,KIVIK,1049.00,https://www.ikea.com/us/en/images/products/kivik-loveseat-grann-bomstad-black__0115161_pe268373_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/kivik-loveseat-grann-bomstad-black-30519519/,sofas-sectionals-fu003
s89319108,FINNALA,2299.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-grann-bomstad-black__0817413_pe774028_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-grann-bomstad-black-s89319108/,sofas-sectionals-fu003
s79471479,JÄTTEBO,530.00,https://www.ikea.com/us/en/images/products/jaettebo-1-seat-module-with-storage-samsala-dark-yellow-green__1109580_pe870072_s5.jpg?f=xxs,1-seat module with storage,https://www.ikea.com/us/en/p/jaettebo-1-seat-module-with-storage-samsala-dark-yellow-green-s79471479/,sofas-sectionals-fu003
s39319097,FINNALA,1778.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-open-end-grann-bomstad-golden-brown__0817384_pe773998_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-open-end-grann-bomstad-golden-brown-s39319097/,sofas-sectionals-fu003
10456438,FINNALA,974.00,https://www.ikea.com/us/en/images/products/finnala-frame-for-loveseat-sleeper-section-grann-bomstad-golden-brown__0819147_pe774710_s5.jpg?f=xxs,Frame for loveseat sleeper section,https://www.ikea.com/us/en/p/finnala-frame-for-loveseat-sleeper-section-grann-bomstad-golden-brown-10456438/,sofas-sectionals-fu003
s19319239,FINNALA,2779.00,https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-corner-with-open-end-grann-bomstad-black__0817656_pe774086_s5.jpg?f=xxs,"Sectional, 4-seat corner",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-corner-with-open-end-grann-bomstad-black-s19319239/,sofas-sectionals-fu003
s29485266,JÄTTEBO,850.00,https://www.ikea.com/us/en/images/products/jaettebo-chaise-module-left-samsala-dark-yellow-green__1109608_pe870098_s5.jpg?f=xxs,"Chaise module, left",https://www.ikea.com/us/en/p/jaettebo-chaise-module-left-samsala-dark-yellow-green-s29485266/,sofas-sectionals-fu003
s79336127,FINNALA,1734.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-with-headrest-tallmyra-beige__0579296_pe675181_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-with-headrest-tallmyra-beige-s79336127/,sofas-sectionals-fu003
